stop_code,stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_desc,stop_name,location_type
31386,-36.88458,merged_28,174.82102,stop_1600,,,Grand Drive/Winhall Rise,1
31387,-36.88613,merged_29,174.82026000000002,stop_1601,,,Grand Drive/Waiatarua Reserve,1
31388,-36.88794,merged_28,174.81587,stop_1602,,,Abbotts Way/Koraha Reserve,1
31389,-36.88728,merged_29,174.81978999999998,stop_1603,,,Abbotts Way/Grand Drive,1
31390,-36.87905,merged_28,174.82227,stop_1604,,,Remuera Rd/Waiatarua Rd,1
31391,-36.87986,merged_28,174.81715,stop_1605,,,Remuera Rd/Kelvin Rd,1
31392,-36.88038,merged_29,174.81428,stop_1606,,,Remuera Rd/Haast St,1
31393,-36.8821,merged_28,174.80747,stop_1607,,,Remuera Rd/Greenlane Lane East,1
31394,-36.87989,merged_29,174.81146999999999,stop_1608,,,Upland Rd/Upland Rd Shops,1
31395,-36.88286,merged_28,174.80924,stop_1609,,,Ladies Mile/Remuera Rd,1
31396,-36.88612,merged_29,174.80936,stop_1610,,,Ladies Mile/Peach Parade,1
31397,-36.88815,merged_28,174.81056999999998,stop_1611,,,Ladies Mile/Abbotts Way,1
31399,-36.88349,merged_28,174.80638000000002,stop_1612,,,Green Lane East/Grand View Rd,1
31400,-36.88503,merged_29,174.8038,stop_1613,,,Green Lane East/Peach Parade,1
31403,-36.88348,merged_29,174.79594,stop_1614,,,Clonbern Rd/Ohinerau St,1
31405,-36.88493,merged_28,174.79848,stop_1615,,,St Vincent Ave/Risk Rd,1
31406,-36.88074,merged_28,174.79725,stop_1616,,,Remuera Rd/Remuera Shopping Centre,1
31407,-36.88165,merged_28,174.80605,stop_1617,,,Remuera Rd/Wairua Reserve,1
31408,-36.88133,merged_28,174.80387,stop_1618,,,Remuera Rd/Lochiel Rd,1
31409,-36.88112,merged_28,174.80171,stop_1619,,,Remuera Rd/Ascot Ave,1
31410,-36.88012,merged_28,174.79404,stop_1620,,,Remuera Rd/King's School,1
31411,-36.881209999999996,merged_29,174.79276000000002,stop_1621,,,St Vincent Ave/Risk Rd,1
31412,-36.87925,merged_28,174.79131999999998,stop_1622,,,Remuera Rd/Market Rd,1
31413,-36.876709999999996,merged_28,174.78843,stop_1623,,,Remuera Rd/Mount Hobson Domain,1
31414,-36.87466,merged_28,174.78433,stop_1624,,,Remuera Rd/Community of Saint Luke,1
31415,-36.87378,merged_28,174.78285,stop_1625,,,Remuera Rd/St Marks Rd,1
31416,-36.872479999999996,merged_29,174.78071,stop_1626,,,Remuera Rd/St Marks Church,1
31417,-36.87096,merged_28,174.77729,stop_1627,,,/Newmarket,1
31418,-36.86741,merged_28,174.77725,stop_1628,,,Khyber Pass Rd/Broadway,1
31419,-36.86487,merged_29,174.7884,stop_1629,,,Shore Rd/Thomas Bloodworth Park,1
31420,-36.865559999999995,merged_29,174.79019,stop_1630,,,Shore Rd/Shore Rd Reserve,1
31421,-36.864740000000005,merged_29,174.79626000000002,stop_1631,,,Portland Rd/Shore Rd,1
31422,-36.867670000000004,merged_29,174.79619,stop_1632,,,Portland Rd/Portland Reserve,1
31423,-36.87053,merged_28,174.79587,stop_1633,,,Portland Rd/Scherff Rd,1
31424,-36.87554,merged_28,174.79367,stop_1634,,,Portland Rd/Eastbourne Rd,1
31425,-36.87287,merged_28,174.79457,stop_1635,,,Portland Rd/Aldred Rd,1
31426,-36.87773,merged_29,174.79265,stop_1636,,,Portland Rd/Westbury Crescent,1
31427,-36.879020000000004,merged_28,174.79204,stop_1637,,,Portland Rd/Remuera Reserve,1
31428,-36.86551,merged_28,174.80018,stop_1638,,,Victoria Ave/Baradene College,1
31429,-36.87212,merged_29,174.7993,stop_1639,,,Victoria Ave/Victoria Ave Shops,1
31430,-36.8739,merged_28,174.79883999999998,stop_1640,,,Victoria Ave/Aldred Rd,1
31431,-36.86704,merged_28,174.80022,stop_1641,,,Victoria Ave/Baradene College,1
31432,-36.86973,merged_29,174.79981999999998,stop_1642,,,Victoria Ave/Hiriri Ave,1
31433,-36.875809999999994,merged_28,174.79834,stop_1643,,,Victoria Ave/Chatfield Place,1
31434,-36.87764,merged_28,174.79852,stop_1644,,,Victoria Ave/Waiata Ave,1
31435,-36.86828,merged_28,174.80206,stop_1645,,,Manawa Rd/Mahoe Ave,1
31436,-36.86732,merged_28,174.8068,stop_1646,,,Orakei Rd/Upland Rd,1
31437,-36.86975,merged_28,174.80541000000002,stop_1647,,,Orakei Rd/Manawa Rd,1
31438,-36.87198,merged_28,174.80498,stop_1648,,,Orakei Rd/Benson Rd,1
31439,-36.87358,merged_29,174.80443,stop_1649,,,Orakei Rd/Benson Rd,1
31440,-36.87489,merged_29,174.80357,stop_1650,,,Orakei Rd/Combes Rd,1
31441,-36.877179999999996,merged_29,174.80369,stop_1651,,,Orakei Rd/Rangitoto Ave,1
31442,-36.88057,merged_28,174.80291,stop_1652,,,Orakei Rd/Remuera Rd,1
31443,-36.87697,merged_28,174.80907,stop_1653,,,Upland Rd/Ventnor Rd,1
31444,-36.87377,merged_29,174.80993,stop_1654,,,Upland Rd/Poto St,1
31445,-36.87315,merged_28,174.81059,stop_1655,,,Upland Rd/Benson Rd Shops,1
31448,-36.8739,merged_28,174.81427,stop_1656,,,Lucerne Rd/Kenny Rd,1
31449,-36.874829999999996,merged_28,174.81179,stop_1657,,,Benson Rd/Crown Lane,1
31450,-36.872659999999996,merged_28,174.81335,stop_1658,,,Martin Ave/Lucerne Rd,1
31451,-36.89781,merged_29,174.80893,stop_1659,,,/Ellerslie,1
31452,-36.89875,merged_29,174.81156000000001,stop_1660,,,Main Highway/Ellerslie Domain,1
31453,-36.89962,merged_28,174.81611999999998,stop_1661,,,Main Highway/Ellerslie Panmure Highway,1
31454,-36.899190000000004,merged_28,174.81882,stop_1662,,,Ellerslie Panmure Hwy/Ellerslie Park Rd,1
31455,-36.89812,merged_28,174.82329,stop_1663,,,Ellerslie Panmure Hwy/Ballarat St,1
31456,-36.89758,merged_29,174.82556,stop_1664,,,Ellerslie Panmure Hwy/Harrison Rd,1
